ID,Transparency,Shade,Diffusion,Luminance
0,1,0,0,0
1,0,1,0,0
2,0,1,0,0
3,0,1,0,0
4,0,1,0,0
5,0,1,0,0
6,1,0,0,0
7,0,1,0,0
8,1,1,2,0
9,1,1,2,0
10,1,0,0,15
11,1,0,0,15
12,0,1,0,0
13,0,1,0,0
14,0,1,0,0
15,0,1,0,0
16,0,1,0,0
17,0,1,0,0
18,1,1,0,0
19,0,1,0,0
20,1,0,0,0
21,0,1,0,0
22,0,1,0,0
23,0,1,0,0
24,0,1,0,0
25,0,1,0,0
26,1,0,0,0
27,1,0,0,0
28,1,0,0,0
29,1,0,0,0
30,1,0,0,0
31,1,0,0,0
32,1,0,0,0
33,1,0,0,0
34,1,0,0,0
35,0,1,0,0
36,1,0,0,0
37,1,0,0,0
38,1,0,0,0
39,1,0,0,1
40,1,0,0,0
41,0,1,0,0
42,0,1,0,0
43,0,1,0,0
44,1,1,15,0
45,0,1,0,0
46,0,1,0,0
47,0,1,0,0
48,0,1,0,0
49,0,1,0,0
50,1,0,0,14
51,1,0,0,15
52,1,0,0,0
53,1,1,15,0
54,1,0,0,0
55,1,0,0,0
56,0,1,0,0
57,0,1,0,0
58,0,1,0,0
59,1,0,0,0
60,1,1,15,0
61,0,1,0,0
62,0,1,0,13
63,1,0,0,0
64,1,0,0,0
65,1,0,0,0
66,1,0,0,0
67,1,1,15,0
68,1,0,0,0
69,1,0,0,0
70,1,0,0,0
71,1,0,0,0
72,1,0,0,0
73,0,1,0,0
74,0,1,0,0
75,1,0,0,0
76,1,0,0,0
77,1,0,0,0
78,1,0,0,0
79,1,1,2,0
80,0,1,0,0
81,1,0,0,0
82,0,1,0,0
83,1,0,0,0
84,0,1,0,0
85,1,0,0,0
86,0,1,0,0
87,0,1,0,0
88,0,1,0,0
89,1,0,0,15
90,1,0,0,0
91,0,1,0,15
92,1,0,0,0
93,1,0,0,0
94,1,0,0,0
95,1,0,0,0
96,1,0,0,0
97,0,1,0,0
98,0,1,0,0
99,0,1,0,0
100,0,1,0,0
101,1,0,0,0
102,1,0,0,0
103,0,1,0,0
104,1,0,0,0
105,1,0,0,0
106,1,0,0,0
107,1,0,0,0
108,1,1,15,0
109,1,1,15,0
110,0,1,0,0
111,1,0,0,0
112,0,1,0,0
113,1,0,0,0
114,1,1,15,0
115,1,0,0,0
116,1,0,0,0
117,1,0,0,0
118,1,0,0,0
119,1,0,0,0
120,1,0,0,0
121,0,1,0,0
122,1,0,0,0
123,0,1,0,0
124,0,1,0,15
125,0,1,0,0
126,1,1,15,0
127,1,0,0,0
128,1,1,15,0
129,0,1,0,0
130,0,1,0,0
131,1,0,0,0
132,1,0,0,0
133,0,1,0,0
134,1,1,15,0
135,1,1,15,0
136,1,1,15,0
137,0,1,0,0
138,0,1,0,0
139,0,1,0,0
140,0,1,0,0
141,0,1,0,0
142,0,1,0,0
143,0,1,0,0
144,0,1,0,0
145,0,1,0,0
146,0,1,0,0
147,0,1,0,0
148,0,1,0,0
149,0,1,0,0
150,0,1,0,0
151,0,1,0,0
152,0,1,0,0
153,0,1,0,0
154,0,1,0,0
155,0,1,0,0
156,0,1,0,0
157,0,1,0,0
158,0,1,0,0
159,0,1,0,0
160,1,1,0,0
161,1,1,0,0
162,0,1,0,0
163,0,1,0,0
164,0,1,0,0
165,0,1,0,0
166,0,1,0,0
167,0,1,0,0
168,0,1,0,0
169,0,1,0,0
170,0,1,0,0
171,0,1,0,0
172,0,1,0,0
173,0,1,0,0
174,0,1,0,0
175,1,0,0,0
176,0,1,0,0
177,0,1,0,0
178,0,1,0,0
179,0,1,0,0
180,0,1,0,0
181,0,1,0,0
182,0,1,0,0
183,0,1,0,0
184,0,1,0,0
185,0,1,0,0
186,0,1,0,0
187,0,1,0,0
188,0,1,0,0
189,0,1,0,0
190,0,1,0,0
191,0,1,0,0
192,0,1,0,0
193,0,1,0,0
194,0,1,0,0
195,0,1,0,0
196,0,1,0,0
197,0,1,0,0
198,0,1,0,0
199,0,1,0,0
200,0,1,0,0
201,0,1,0,0
202,0,1,0,0
203,0,1,0,0
204,0,1,0,0
205,0,1,0,0
206,0,1,0,0
207,0,1,0,0
208,0,1,0,0
209,0,1,0,0
210,0,1,0,0
211,0,1,0,0
212,0,1,0,0
213,0,1,0,0
214,0,1,0,0
215,0,1,0,0
216,0,1,0,0
217,0,1,0,0
218,0,1,0,0
219,0,1,0,0
220,0,1,0,0
221,0,1,0,0
222,0,1,0,0
223,0,1,0,0
224,0,1,0,0
225,0,1,0,0
226,0,1,0,0
227,0,1,0,0
228,0,1,0,0
229,0,1,0,0
230,0,1,0,0
231,0,1,0,0
232,0,1,0,0
233,0,1,0,0
234,0,1,0,0
235,0,1,0,0
236,0,1,0,0
237,0,1,0,0
238,0,1,0,0
239,0,1,0,0
240,0,1,0,0
241,0,1,0,0
242,0,1,0,0
243,0,1,0,0
244,0,1,0,0
245,0,1,0,0
246,0,1,0,0
247,0,1,0,0
248,0,1,0,0
249,0,1,0,0
250,0,1,0,0
251,0,1,0,0
252,0,1,0,0
253,0,1,0,0
254,0,1,0,0
255,0,1,0,0